City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Ponta Do Sol,PT,32.67,-17.1,55.4,76,75,23.04,light intensity shower rain
147,Katangli,RU,51.71,143.23,17.58,96,100,11.41,light snow
148,Vanino,RU,49.09,140.25,11.95,79,29,9.08,scattered clouds
149,Kattivakkam,IN,13.22,80.32,77.0,94,75,2.24,broken clouds
150,Tanete,ID,-3.94,119.78,77.23,84,100,2.64,overcast clouds
151,Kandrian,PG,-6.22,149.55,78.19,83,100,3.74,light rain
152,Provideniya,RU,64.38,-173.3,21.2,67,75,17.9,heavy snow
153,Codrington,AU,-38.27,141.97,49.06,90,89,6.38,overcast clouds
154,Nanortalik,GL,60.14,-45.24,28.53,85,100,4.99,overcast clouds
155,Chokurdakh,RU,70.63,147.92,-7.17,91,98,11.54,overcast clouds
156,Tiksi,RU,71.69,128.87,2.32,89,100,21.32,overcast clouds
157,Lander,US,42.83,-108.73,36.0,37,1,3.22,clear sky
158,Patan,NP,27.67,85.33,46.4,93,20,3.36,few clouds
159,Maridi,SS,4.92,29.47,71.1,43,73,3.89,broken clouds
160,Mahebourg,MU,-20.41,57.7,75.2,83,40,6.93,scattered clouds
161,Thiruvananthapuram,IN,8.48,76.92,86.0,70,40,3.42,haze
162,Lagoa,PT,39.05,-27.98,60.73,74,100,26.57,light rain
163,Lata,PT,40.16,-8.33,55.0,87,58,3.0,broken clouds
164,Inhambane,MZ,-23.86,35.38,77.0,94,75,2.24,broken clouds
165,Esperance,AU,-33.87,121.9,60.8,82,75,19.46,broken clouds
166,Semnan,IR,35.57,53.4,46.58,83,100,2.84,overcast clouds
167,Saint George,US,37.1,-113.58,52.0,24,1,2.21,clear sky
168,Beaverlodge,CA,55.22,-119.44,15.8,92,90,3.24,overcast clouds
169,Talnakh,RU,69.49,88.4,5.0,84,90,29.08,snow
170,Deputatskiy,RU,69.3,139.9,-14.57,89,10,6.53,clear sky
171,Charkhi Dadri,IN,28.6,76.27,61.97,29,0,2.82,clear sky
